created_at,text,screen_name,followers,friends,rt,fav
Wed Nov 15 23:59:59 +0000 2017,Sad but true \U0001f926\U0001f3fd\u200d\u2642\ufe0f https://t.co/glMTAJH8eT,JevanteDemmoine,2165,1541,0,0
Wed Nov 15 23:59:59 +0000 2017,So sad https://t.co/tqrFsWw2Fc,PEAJOHNNY95,1380,862,0,0
Wed Nov 15 23:59:58 +0000 2017,"RT @sxlwm: i hate when people put sad music on dog rescue videos, so i fixed it. https://t.co/brvk1t4GFB",tyler_schriedel,278,379,63496,0
Wed Nov 15 23:59:58 +0000 2017,"Why is depression so hard to understand? Because it is invisible... It is not ""feeling"" a bit sad. It is ""being"" sa\u2026 https://t.co/qVMl35bN02",Jeog88,241,655,2,1
Wed Nov 15 23:59:58 +0000 2017,RT @_SamUncensored: I tell people I dont clique up for a reason. Niggas be 24 and wanna be in a group. Sad times we live in,JYork510,697,233,13,0
Wed Nov 15 23:59:58 +0000 2017,"@MilitaryEarth @pop6627 Just looking at the picture of him and knowing he is no longer with us, makes me sad.",princessdianej,4755,4817,0,1
Wed Nov 15 23:59:58 +0000 2017,"I'm really sad, man",alexiscrivera,140,336,0,1
Wed Nov 15 23:59:57 +0000 2017,RT @jesse_duplantis: Don't be just saved enough to be miserable\u2014a sad &amp; disgusted Christian! There's nothing better than knowing Jesus\u2014reac\u2026,Mitzi_Gardner,150,315,123,0
Wed Nov 15 23:59:57 +0000 2017,Post Malone is like the perfect artist like r u happy? Post Malone. Sad? Post Malone. Want some good nigbops? Post motherfrickin Malone.,rachel3sowinski,79,114,13,31
Wed Nov 15 23:59:57 +0000 2017,RT @SoDamnTrue: it\u2019s okay to cry &amp; okay to be sad. it\u2019s okay to miss them &amp; okay to wish u did something different. but never blame urself\u2026,Alyssa44Alyssaa,267,172,2655,0
Wed Nov 15 23:59:57 +0000 2017,So I capitulated and sadly sold my GE stock today.... Sad that such a great has fallen in disrepair.  Imo the CEO w\u2026 https://t.co/RNtaCJKp25,clemieomd,61,81,0,0
Wed Nov 15 23:59:57 +0000 2017,@CBSThisMorning Are Americans aware that there are in fact teenage girls want this life style sad but these girls n\u2026 https://t.co/x2PwXChUVR,TracyFi35978516,48,1000,0,0
Wed Nov 15 23:59:57 +0000 2017,RT @NYTMinusContext: human-shaped and sad,realSassBear,45,193,10402,0
Wed Nov 15 23:59:57 +0000 2017,RT @Education4Libs: It\u2019s sad what is happening in Europe. \n\nMuslims who forced their way into the UK are committing mass rapes against chil\u2026,klustner,420,391,308,0
Wed Nov 15 23:59:57 +0000 2017,@rayneexox It was sad tho that the migos security guard jumped in,Kat_GillieRBLX,75,180,0,0
Wed Nov 15 23:59:56 +0000 2017,Teenage me is so sad that #WarpedTour is ending. I feel like I need to go this summer to give it a proper send off.,abigail_clare,502,353,0,1
Wed Nov 15 23:59:56 +0000 2017,RT @ZackRyder: Sad to see @realellsworth leave @WWE...but happy i got to see him live his dream. T-shirt...walk out at WrestleMania...Actio\u2026,HeelMorales93,424,1942,1081,0
Wed Nov 15 23:59:56 +0000 2017,@Camburly @Kallemet86 @tenaciousV56 @Ref0ff @Jamesross530 @BBCScotlandNews @NicolaSturgeon @RuthDavidsonMSP\u2026 https://t.co/U1MrPAk8PM,2351onthelist,4668,509,1,5
Wed Nov 15 23:59:56 +0000 2017,RT @SoDamnTrue: it\u2019s okay to cry &amp; okay to be sad. it\u2019s okay to miss them &amp; okay to wish u did something different. but never blame urself\u2026,alebusbel,1000,1930,2655,0
Wed Nov 15 23:59:55 +0000 2017,@SteveChopz Sad I missed it but I'll be there tomorrow for the next stream.,zeldoras,12,43,0,1
Wed Nov 15 23:59:55 +0000 2017,"RT @dbongino: This guy is simply lying. He\u2019s literally, yes literally, making this up. They do this because they assume you won\u2019t do your h\u2026",Firemdc780,4776,4548,5595,0
Wed Nov 15 23:59:55 +0000 2017,"RT @thegreatkhalid: Spent half of my life being sad about shit I had no control over, and going throughout the day was exhausting. One day,\u2026",sydneymakena,87,61,103945,0
Wed Nov 15 23:59:55 +0000 2017,@davidaxelrod You are such a sad sad man,_gneec,56,287,0,0
Wed Nov 15 23:59:55 +0000 2017,@RichEisenShow @CFD22 Sad thing Rich is I agree with you on the Ohio St the committee will find a way to get them in,jeepstinger,73,1875,0,0
Wed Nov 15 23:59:55 +0000 2017,@churchmark @benshapiro Hahahahahahahahhahahahah\nGo away sad little man. Go away and hide in your hate. #BeBlessed,Kinmanjr,162,94,0,0
Wed Nov 15 23:59:55 +0000 2017,RT @Hippy: THIS IS SO SAD \U0001f622 https://t.co/uvG36X6zhy,pappichulomike,510,553,417,0
Wed Nov 15 23:59:55 +0000 2017,@MiadelaFuente Hadlok sad ko te kay he doesn't like me din huhu,_daselle,1258,1415,0,0
Wed Nov 15 23:59:55 +0000 2017,"RT @writhans: it's sad\n\nknowing that\n\ni love others\n\nmore than \n\ni love myself;\n\ni hate to see others\n\nin pain\n\nbut when it\n\ncomes to me,\u2026",Liiigayyaaa,231,171,9017,0
Wed Nov 15 23:59:54 +0000 2017,I have no words. Sad. https://t.co/AGQkihAWxM,dweezil2k,272,890,0,0
Wed Nov 15 23:59:54 +0000 2017,"\u2022 day 15 - 758\n\u2022 total - 24,108\ni am not feeling very good tonight and had lots of other stuff to do, hence the low\u2026 https://t.co/uUZ8uYeGXJ",parkjiminsmiles,256,287,0,0
Wed Nov 15 23:59:54 +0000 2017,"RT @thegreatkhalid: Spent half of my life being sad about shit I had no control over, and going throughout the day was exhausting. One day,\u2026",livinnsht,7362,5355,103945,0
Wed Nov 15 23:59:53 +0000 2017,RT @maiaamariee: thinking about getting older makes me sad so I'm trynna live everyday to the fullest,naaatties,89,91,24,0
Wed Nov 15 23:59:53 +0000 2017,RT @qoldeyed: jungkook: i'm sad because i don't know english\n\nalso jungkook: https://t.co/qQM2CfdrZC,luvjintae,2594,2721,531,0
Wed Nov 15 23:59:53 +0000 2017,RT @anthonycasey2: #FreeBaked Communists are sad Baked Alaska did nothing wrong. #FreeBaked https://t.co/qNCHGjpuZT,Bonaprova,62,293,1,0
Wed Nov 15 23:59:53 +0000 2017,She knows I'm sad so she's trying to protect me I m cry https://t.co/zKazIRvIR3,PURGATORYGRAY,786,536,0,5
Wed Nov 15 23:59:53 +0000 2017,RT @azula: When you hear you're not #SexiestManAlive and go into your sad hiding hole. https://t.co/HO4yPOeVHG,BKIPMBitung,297,357,7,0
Wed Nov 15 23:59:53 +0000 2017,RT @ohteenquotes: The sad thing is that I actually thought you'd be different.,Aryaaputra__,539,110,1245,0
Wed Nov 15 23:59:53 +0000 2017,"@CillizzaCNN ""Sad""? Because he needed 2 sips of water? You're an idiot. How the hell are you a ""journalist""!!",Roxanne060979,2434,2443,1,3
Wed Nov 15 23:59:53 +0000 2017,RT @BeckyLynchWWE: I\ufe0f couldn\u2019t be happier for @MsCharlotteWWE becoming 5x women\u2019s champion. I\u2019m sad to lose you from the team though champ!\u2026,dj_johan_11,64,555,2005,0
Wed Nov 15 23:59:52 +0000 2017,"Day by day, just faking it!!  They seem to be ""good"" at it.  Sad. https://t.co/p8fHWa1uQi",MisterEadgbe,26,119,0,0
Wed Nov 15 23:59:52 +0000 2017,@OfficialBradlee What the heck ): I'm sad now.,ehhh_zitlali,198,155,0,1
Wed Nov 15 23:59:52 +0000 2017,RT @_SamUncensored: I tell people I dont clique up for a reason. Niggas be 24 and wanna be in a group. Sad times we live in,brookann_15,1903,524,13,0
Wed Nov 15 23:59:52 +0000 2017,RT @taiterthot: if yg sad i'm sad https://t.co/QSIOhKqPYr,chelleee_belle,270,221,47683,0
Wed Nov 15 23:59:52 +0000 2017,People don't have to frown to be sad.\nPeople don't have to smile to show their in a good mood.,MissWiseGuy,41,15,0,0
Wed Nov 15 23:59:52 +0000 2017,@RichardBSpencer when this is what you have to offer... sad...,EricaLindholdt,59,111,0,0
Wed Nov 15 23:59:51 +0000 2017,RT @taiterthot: if yg sad i'm sad https://t.co/QSIOhKqPYr,JakePuluThomson,1288,867,47683,0
Wed Nov 15 23:59:50 +0000 2017,i just realised for my thread i literally have 3 capricorn boys i like how sad lol??,the07thsense,1623,76,0,0
Wed Nov 15 23:59:50 +0000 2017,"RT @Ibehotboytay: God is leading you somewhere. No matter how happy or sad you are. No matter what\u2019s going on in your life, everything is o\u2026",itsskrislynn,394,449,529,0
Wed Nov 15 23:59:50 +0000 2017,sara ficou off o feriado td e eu t\xf4 sad,error2039,523,441,0,0
Wed Nov 15 23:59:50 +0000 2017,RT @zoecadman: Very sad to hear . https://t.co/g289F5xaFp,SugarRacingCA,103,131,3,0
Wed Nov 15 23:59:49 +0000 2017,"RT @dbongino: This guy is simply lying. He\u2019s literally, yes literally, making this up. They do this because they assume you won\u2019t do your h\u2026",LShrug,1754,1204,5595,0
Wed Nov 15 23:59:49 +0000 2017,Ifanyone makes me sad abt noctis tonight i will die immediately,graveyardsoup,937,357,0,5
Wed Nov 15 23:59:49 +0000 2017,RT @BorrachosVIP: \xbfYa es la hora sad? \U0001f62a https://t.co/ZQB2SauC8L,JrLabastida,236,372,561,0
Wed Nov 15 23:59:49 +0000 2017,"@CaptainCons @BarstoolTrent Clearly Trent doesn't listen to No Quitters, sad",The_Brammys,13,93,0,0
Wed Nov 15 23:59:48 +0000 2017,@SenTedCruz @USAmbIsrael @Israel Why are we wasting hard-working Americans Tax Dollars to prop up Genocidal Terrori\u2026 https://t.co/CdiZ72gwOf,Vankas_Secrets,75,23,0,0
Wed Nov 15 23:59:48 +0000 2017,I\ufe0f hope Kathy is doing ok. So sad I\ufe0f will pray for her.,Brenda031275831,4,66,0,0
Wed Nov 15 23:59:48 +0000 2017,@tyblorsion @addamschloe well no seriously. it's sad for me.,lustycomic,1195,329,0,0
Wed Nov 15 23:59:48 +0000 2017,RT @BlairBraverman: Truck broke down AGAIN after we spent thousands to fix it and I'm trapped in the woods with 20 dogs and exhausted and f\u2026,brahmnomnom,452,448,15,0
Wed Nov 15 23:59:48 +0000 2017,@TamaraLChambers you'll be bored and sad and wonder what the hell they did to sokka,radioprotector,3293,440,0,7
Wed Nov 15 23:59:48 +0000 2017,Sad,chrisdwyer171,179,288,0,0
Wed Nov 15 23:59:47 +0000 2017,"@nataliereed84 I'm just saying, I like reading what you write. I'd be sad if you were gone. That doesn't mean radio\u2026 https://t.co/rtiUOl323t",aliceinfemme,62,336,0,0
Wed Nov 15 23:59:47 +0000 2017,the fact that you spend your limited days on this earth being petty is sad,TayGilcrease,88,90,1,3
Wed Nov 15 23:59:47 +0000 2017,RT @Education4Libs: It\u2019s sad what is happening in Europe. \n\nMuslims who forced their way into the UK are committing mass rapes against chil\u2026,Dave29788264,132,497,308,0
Wed Nov 15 23:59:46 +0000 2017,@Exo_Bodyguard If these awards are as meaningless anon says they are then why is she wasting her time going to your\u2026 https://t.co/ZCTIzyKS6U,black_obsidion,133,80,0,1
Wed Nov 15 23:59:46 +0000 2017,right now i'm only dming kennedy and it lowkey makes me sad,BRiANNADiDTHAT,108,49,0,0
Wed Nov 15 23:59:46 +0000 2017,RT @StephenAmell: Was ratcheted from a dead sleep on my flight this morning by the guy in front of me repeatedly trying to jam his tray tab\u2026,LPbro32,484,778,1233,0
Wed Nov 15 23:59:46 +0000 2017,sad and funny thing is that everyone knows who these people are without mentioning their names. everyone just doesn\u2026 https://t.co/CeEMNJ12WI,xiujihun,213,63,0,1
Wed Nov 15 23:59:46 +0000 2017,@yassoaresx #sad,acustishawn,998,987,0,0
Wed Nov 15 23:59:46 +0000 2017,sad funny beautiful ! https://t.co/9o41Aa9sln,sorry2bugu,19128,289,0,0
Wed Nov 15 23:59:46 +0000 2017,It's sad when you give a profound speech of cursing the ones sacrificing you and when you're done it sounds like a\u2026 https://t.co/EpfvWX44Ck,EarlSimpsonII,369,1221,0,0
Wed Nov 15 23:59:46 +0000 2017,"Wow, I\u2019m sad no one talk to me for the rest of the fucking day. K bye",DopeItsSelii,966,766,0,0
Wed Nov 15 23:59:45 +0000 2017,Incredibly sad news about Techshop. I took classes there to learn how to use a mill and a lathe when my university\u2026 https://t.co/vcTd5eBzD0,motormo,615,1301,0,1
Wed Nov 15 23:59:45 +0000 2017,@kppbrxs AHHH HAVE FUN FOR ALL OF US!!! (THE SAD LIFE OF A NEW YORK FAN LMAO EAST COAST AHAHA),jjangkooks,74,480,0,1
Wed Nov 15 23:59:44 +0000 2017,"RT @WellieBoyce: My heart.... My sad, cut my wrists and black my eyes, hey Miss Murder, come join the black parade, I chimed in with haven'\u2026",Bobbiiteaa,846,698,61,0
Wed Nov 15 23:59:44 +0000 2017,"RT @evepeyser: Discovered that there\u2019s a third Hemsworth brother, who\u2019s less hot and a less successful actor than the other two, now I feel\u2026",Ganbare__Ginkun,1233,2233,11,0
Wed Nov 15 23:59:44 +0000 2017,RT @jaboukie: when you move cities and you're still sad https://t.co/xU8J12Ealr,rossinskifam,232,112,16669,0
Wed Nov 15 23:59:44 +0000 2017,RT @taiterthot: if yg sad i'm sad https://t.co/QSIOhKqPYr,madddiieeeeexo,315,297,47683,0
Wed Nov 15 23:59:44 +0000 2017,RT @taiterthot: if yg sad i'm sad https://t.co/QSIOhKqPYr,chancephon_,387,291,47683,0
